GEOIDFQ,NAME,GEOTYPE,Year,Number of Sales,Median Sales Price,Median Sales Price MOE,Median Household Income (MSA),Median Household Income MOE (MSA),Sales Price to Income Index (MSA),Median Sales Price (2024 Dollars),"Median Household Income (MSA, 2024 Dollars)"
0500000US39045,Fairfield County,COUNTY,2020,2296,250000.0,4005.1008551475848,66715,579.0,3.7472832196657424,303009.7252435175,80861.17527848508
0500000US39045,Fairfield County,COUNTY,2021,2439,293000.0,4547.010228901231,71839,1250.0,4.078564567992316,339192.0766136473,83164.57198582869
0500000US39045,Fairfield County,COUNTY,2022,2263,319000.0,5931.719127399451,75777,1639.0,4.209720627631075,341927.4948317986,81223.32218140816
0500000US39045,Fairfield County,COUNTY,2023,1969,330000.0,6089.196886468338,77390,1550.0,4.264116810957488,339733.1491096219,79672.57093816253
0500000US39045,Fairfield County,COUNTY,2024,2080,340000.0,6747.015426895875,82938,1487.0,4.099447780269599,340000.0,82938.0
0500000US39047,Fayette County,COUNTY,2012,195,74000.0,8666.525572157569,53699,1282.0,1.3780517328069424,101104.4975042902,73367.70826328215
0500000US39047,Fayette County,COUNTY,2013,233,70000.0,6991.6100158434665,54079,1130.0,1.2944026331847853,94258.72585927875,72820.25193919908
0500000US39047,Fayette County,COUNTY,2014,205,79000.0,7622.060421621467,56371,981.0,1.4014298132018237,104679.60512976481,74694.86102240472
0500000US39047,Fayette County,COUNTY,2015,236,89900.0,6295.243282942678,58192,1604.0,1.5448858949683806,118981.51229658633,77016.37556799724
0500000US39047,Fayette County,COUNTY,2016,292,100250.0,6571.7889443071435,60294,1005.0,1.662686171094968,131026.68776327357,78804.22056856676
0500000US39047,Fayette County,COUNTY,2017,286,103450.0,7492.99369849294,63764,1469.0,1.6223888087322,132388.73633322454,81601.11535574413
0500000US39047,Fayette County,COUNTY,2018,296,113500.0,7282.173376973781,64052,1189.0,1.7719977518266408,141786.97328230596,80015.32345972037
0500000US39047,Fayette County,COUNTY,2019,300,124700.0,8051.859458840312,67207,1091.0,1.8554614846667759,153005.8566751546,82462.42670061841
0500000US39047,Fayette County,COUNTY,2020,263,142000.0,9317.357004596286,66715,579.0,2.1284568687701415,172109.52393831793,80861.17527848508
0500000US39047,Fayette County,COUNTY,2021,382,158450.0,7702.101125374137,71839,1250.0,2.2056264703016466,183429.98136325055,83164.57198582869
