GEO_ID,NAME,reference_period,Number of Sales,Median Sale Price,Median Sale Price MOE,Median Household Income (Columbus MSA),Sales Price to Income Index (MORPC 15-county region),Median Sale Price (2024 Dollars),"Median Household Income (Columbus MSA, 2024 Dollars)",Percent Change in Median Sale Price (2024 Dollars),"Percent Change in Median Household Income (Columbus MSA, 2024 Dollars)"
0500000US39045,Fairfield,2024,2081,340000.0,6744.95215938873,82938,4.099447780269599,340000.0,82938.0,74.633,13.044
0500000US39047,Fayette,2012,191,74000.0,8785.853559267221,53699,1.3780517328069424,101104.4975042902,73367.70826328215,0.0,0.0
0500000US39047,Fayette,2013,233,70000.0,6991.6100158434665,54079,1.2944026331847853,94258.72585927875,72820.25193919908,-6.771,-0.746
0500000US39047,Fayette,2014,202,78700.0,7711.286279562475,56371,1.3961079278352344,104282.08764193027,74694.86102240472,3.143,1.809
0500000US39047,Fayette,2015,235,89900.0,6304.101465980618,58192,1.5448858949683806,118981.51229658633,77016.37556799724,17.682,4.973
0500000US39047,Fayette,2016,292,100250.0,6571.7889443071435,60294,1.662686171094968,131026.68776327357,78804.22056856676,29.595,7.41
0500000US39047,Fayette,2017,284,103450.0,7533.8286387058115,63764,1.6223888087322,132388.73633322454,81601.11535574413,30.942,11.222
0500000US39047,Fayette,2018,296,113500.0,7282.173376973781,64052,1.7719977518266408,141786.97328230596,80015.32345972037,40.238,9.061
0500000US39047,Fayette,2019,298,123950.0,8072.321534004317,67207,1.8443019328343773,152085.6129501637,82462.42670061841,50.424,12.396
0500000US39047,Fayette,2020,263,142000.0,9317.357004596286,66715,2.1284568687701415,172109.52393831793,80861.17527848508,70.229,10.214
0500000US39047,Fayette,2021,382,158450.0,7702.101125374137,71839,2.2056264703016466,183429.98136325055,83164.57198582869,81.426,13.353
0500000US39047,Fayette,2022,299,180000.0,9682.410866869654,75777,2.3753909497604813,192937.1444191967,81223.32218140816,90.829,10.707
0500000US39047,Fayette,2023,295,185000.0,10520.888490923207,77390,2.3904897273549555,190456.4623796365,79672.57093816253,88.376,8.594
0500000US39047,Fayette,2024,297,210000.0,11516.908558094516,82938,2.532011864284164,210000.0,82938.0,107.706,13.044
0500000US39049,Franklin,2012,11196,138000.0,2212.542973102145,53699,2.5698802584778115,188546.22507556822,73367.70826328215,0.0,0.0
0500000US39049,Franklin,2013,13409,145000.0,2168.532092368445,54079,2.6812625973113406,195250.21785136312,72820.25193919908,3.556,-0.746
0500000US39049,Franklin,2014,15280,148000.0,1933.418077897031,56371,2.6254634475173404,196108.6273317113,74694.86102240472,4.011,1.809
0500000US39049,Franklin,2015,17795,152750.0,1814.0100845845006,58192,2.6249312620291447,202162.69191661358,77016.37556799724,7.222,4.973
0500000US39049,Franklin,2016,18973,163000.0,1825.3071815698313,60294,2.703419909112018,213040.89880711812,78804.22056856676,12.991,7.41
0500000US39049,Franklin,2017,19163,175000.0,1859.045029527439,63764,2.7444953265165295,223953.879732376,81601.11535574413,18.779,11.222
0500000US39049,Franklin,2018,18524,189000.0,1960.0587780691594,64052,2.9507275338787236,236103.41806480906,80015.32345972037,25.223,9.061
0500000US39049,Franklin,2019,18685,202000.0,1956.7183006157352,67207,3.005639293525972,247852.30993088393,82462.42670061841,31.454,12.396
0500000US39049,Franklin,2020,19159,223715.0,2088.248535972598,66715,3.3532938619500863,271151.2827314141,80861.17527848508,43.812,10.214
0500000US39049,Franklin,2021,20582,255000.0,2127.3526255975494,71839,3.549603975556453,295201.2953463483,83164.57198582869,56.567,13.353
0500000US39049,Franklin,2022,17738,282825.0,2690.0283441735646,75777,3.7323330298111563,303152.4881686628,81223.32218140816,60.784,10.707
0500000US39049,Franklin,2023,14895,300000.0,3106.576977182617,77390,3.876469828143171,308848.3173723835,79672.57093816253,63.805,8.594
0500000US39049,Franklin,2024,15161,315000.0,3081.2493811509057,82938,3.798017796426246,315000.0,82938.0,67.068,13.044
0500000US39073,Hocking,2012,136,108950.0,13777.20760540828,53699,2.0289018417475186,148855.8784201678,73367.70826328215,0.0,0.0
0500000US39073,Hocking,2013,143,119400.0,13775.562456226791,54079,2.2078810628894767,160778.45525139832,72820.25193919908,8.009,-0.746
0500000US39073,Hocking,2014,163,115000.0,11020.420489584547,56371,2.040056057192528,152381.7036699108,74694.86102240472,2.369,1.809
0500000US39073,Hocking,2015,210,119950.0,10322.85702614686,58192,2.061279901017322,158752.30700751423,77016.37556799724,6.648,4.973
0500000US39073,Hocking,2016,199,131000.0,12723.16091970271,60294,2.1726871662188607,171216.91867320536,78804.22056856676,15.022,7.41
0500000US39073,Hocking,2017,222,134250.0,12532.42617917849,63764,2.1054199861991094,171804.61916612272,81601.11535574413,15.417,11.222
0500000US39073,Hocking,2018,247,135000.0,12440.42314198436,64052,2.107662524199088,168645.29861772075,80015.32345972037,13.294,9.061
0500000US39073,Hocking,2019,257,160000.0,10444.027532438195,67207,2.380704390911661,196318.66133139323,82462.42670061841,31.885,12.396
0500000US39073,Hocking,2020,315,186000.0,17918.028951838,66715,2.7879787154313123,225439.23558117702,80861.17527848508,51.448,10.214
0500000US39073,Hocking,2021,291,205000.0,16743.76785252521,71839,2.8536031960355794,237318.68841569178,83164.57198582869,59.428,13.353
0500000US39073,Hocking,2022,321,260000.0,22171.642643008887,75777,3.4311202607651397,278686.98638328415,81223.32218140816,87.219,10.707
0500000US39073,Hocking,2023,271,270000.0,30092.194166399637,77390,3.488822845328854,277963.48563514516,79672.57093816253,86.733,8.594
0500000US39073,Hocking,2024,302,280000.0,26802.056914750363,82938,3.376015819045552,280000.0,82938.0,88.101,13.044
0500000US39083,Knox,2012,244,120250.0,12044.733342327265,53699,2.2393340658112812,164294.80844447156,73367.70826328215,0.0,0.0
0500000US39083,Knox,2013,315,128500.0,10356.686648150495,54079,2.3761534052034987,173032.08961310456,72820.25193919908,5.318,-0.746
0500000US39083,Knox,2014,376,132000.0,9504.390121620718,56371,2.3416295612992495,174907.69464720198,74694.86102240472,6.46,1.809
0500000US39083,Knox,2015,391,140000.0,8834.239850057638,58192,2.4058289799285126,185288.228270546,77016.37556799724,12.778,4.973
0500000US39083,Knox,2016,499,145000.0,8532.157403753381,60294,2.404882741234617,189514.9099817922,78804.22056856676,15.351,7.41
0500000US39083,Knox,2017,540,149000.0,8260.297516818771,63764,2.3367417351483595,190680.731886423,81601.11535574413,16.06,11.222
0500000US39083,Knox,2018,617,155000.0,7993.622424890126,64052,2.4199088240804345,193629.78730182754,80015.32345972037,17.855,9.061
